Date,Athlete,Session_Type,Duration_min,Distance_km,Avg_HR,Max_HR,RPE
2026-01-27,Martin,Match,90.0,11.6,173.0,185,8
2026-01-28,Martin,Endurance,56.0,9.1,151.0,165,4
2026-01-29,Martin,Match,90.0,10.9,173.0,189,8
2026-01-30,Martin,Match,90.0,11.1,166.0,200,9
2026-01-31,Martin,Strength,48.0,,101.0,134,7
2026-02-01,Martin,Strength,74.0,,97.0,148,5
2026-02-02,Martin,Interval,34.0,7.6,161.0,185,8
2026-02-03,Martin,Endurance,72.0,11.8,138.0,169,3
2026-02-09,Martin,Strength,64.0,,115.0,138,7
2026-02-10,Martin,Interval,52.0,11.7,173.0,189,6
2026-02-14,Martin,Match,90.0,8.7,166.0,185,8
2026-02-15,Martin,Match,90.0,11.8,161.0,186,7
2026-02-16,Martin,Strength,43.0,,116.0,147,7
2026-02-17,Martin,Match,90.0,11.7,169.0,197,8
2026-02-18,Martin,Strength,66.0,,98.0,147,6
2026-02-19,Martin,Match,90.0,10.4,173.0,197,8
2026-02-20,Martin,Endurance,57.0,8.9,144.0,167,3
2026-02-22,Martin,Interval,45.0,9.0,162.0,187,7
2026-02-23,Martin,Endurance,58.0,11.5,149.0,174,5
2026-02-24,Martin,Interval,44.0,9.9,,188,7
2026-02-25,Martin,Strength,59.0,,114.0,143,5
2026-02-26,Martin,Interval,31.0,6.8,159.0,189,8
2026-02-28,Martin,Strength,43.0,,,145,6
2026-03-01,Martin,Endurance,78.0,15.4,137.0,162,5
2026-01-05,Sofie,Interval,54.0,12.0,174.0,197,6
2026-01-06,Sofie,Interval,31.0,6.6,156.0,183,6
2026-01-07,Sofie,Endurance,71.0,12.3,149.0,168,5
2026-01-08,Sofie,Match,90.0,10.5,163.0,194,7
2026-01-12,Sofie,Match,90.0,10.2,174.0,197,7
2026-01-13,Sofie,Strength,66.0,,118.0,147,7
2026-01-15,Sofie,Strength,51.0,,103.0,133,7
2026-01-16,Sofie,Endurance,70.0,11.8,144.0,162,5
2026-01-17,Sofie,Match,90.0,11.6,174.0,194,8
2026-01-18,Sofie,Strength,75.0,,95.0,145,7
2026-01-20,Sofie,Match,90.0,11.0,161.0,186,8
2026-01-21,Sofie,Strength,59.0,,95.0,132,6
2026-01-22,Sofie,Interval,39.0,8.0,161.0,187,6
2026-01-23,Sofie,Interval,52.0,9.8,171.0,187,8
2026-01-24,Sofie,Strength,50.0,,115.0,147,5
2026-01-25,Sofie,Endurance,46.0,8.4,148.0,169,3
2026-01-26,Sofie,Match,90.0,9.5,160.0,192,7
2026-01-27,Sofie,Match,90.0,12.1,163.0,189,8
2026-01-31,Sofie,Match,90.0,9.5,172.0,189,9
2026-02-02,Sofie,Match,90.0,11.6,174.0,198,9
2026-02-03,Sofie,Interval,31.0,6.0,157.0,182,8
2026-02-04,Sofie,Strength,59.0,,111.0,131,7
2026-02-06,Sofie,Endurance,53.0,8.7,137.0,171,4
2026-02-07,Sofie,Match,90.0,8.7,161.0,194,7
2026-02-08,Sofie,Endurance,66.0,10.5,149.0,165,3
2026-02-10,Sofie,Strength,56.0,,109.0,146,5
2026-02-11,Sofie,Strength,56.0,,98.0,135,7
2026-02-12,Sofie,Interval,47.0,10.3,160.0,191,7
2026-02-14,Sofie,Match,90.0,10.1,174.0,192,7
2026-02-17,Sofie,Endurance,73.0,13.2,143.0,166,4
2026-02-18,Sofie,Endurance,63.0,10.1,154.0,169,4
2026-02-20,Sofie,Interval,44.0,8.6,164.0,181,7
2026-02-21,Sofie,Strength,65.0,,109.0,143,6
2026-02-22,Sofie,Strength,48.0,,115.0,137,6
2026-02-23,Sofie,Strength,62.0,,108.0,137,7
2026-02-24,Sofie,Strength,60.0,,118.0,132,7
2026-02-25,Sofie,Strength,58.0,,101.0,146,5
2026-02-26,Sofie,Interval,41.0,7.8,165.0,181,6
2026-02-27,Sofie,Match,90.0,9.6,160.0,194,8
2026-03-01,Sofie,Endurance,79.0,11.9,144.0,173,5
2026-01-05,Jonas,Match,90.0,9.1,163.0,194,9
2026-01-06,Jonas,Endurance,68.0,13.6,155.0,167,5
2026-01-07,Jonas,Match,90.0,11.3,171.0,197,8
2026-01-08,Jonas,Interval,30.0,5.8,170.0,189,7
2026-01-10,Jonas,Endurance,87.0,15.5,155.0,163,45
2026-01-11,Jonas,Strength,45.0,,108.0,139,7
2026-01-13,Jonas,Interval,31.0,6.4,164.0,196,6
2026-01-15,Jonas,Match,90.0,9.4,160.0,188,7
2026-01-16,Jonas,Match,90.0,10.5,169.0,185,7
2026-01-18,Jonas,Match,90.0,11.1,170.0,191,9
2026-01-19,Jonas,Strength,42.0,,113.0,137,7
2026-01-20,Jonas,Strength,73.0,,116.0,136,6
2026-01-21,Jonas,Strength,70.0,,104.0,140,6
2026-01-22,Jonas,Match,90.0,11.9,166.0,190,8
2026-01-23,Jonas,Interval,46.0,9.4,157.0,197,8
2026-01-24,Jonas,Interval,35.0,7.0,161.0,183,6
2026-01-25,Jonas,Endurance,76.0,12.6,144.0,162,4
2026-01-28,Jonas,Strength,62.0,,113.0,150,7
2026-01-29,Jonas,Strength,75.0,,114.0,143,7
2026-01-30,Jonas,Interval,59.0,13.1,164.0,195,6
2026-01-31,Jonas,Endurance,82.0,14.6,144.0,175,4
2026-02-01,Jonas,Endurance,90.0,14.8,152.0,171,5
2026-02-02,Jonas,Strength,40.0,,98.0,136,5
2026-02-03,Jonas,Match,90.0,12.4,167.0,198,8
2026-02-04,Jonas,Endurance,63.0,12.0,148.0,161,3
2026-02-05,Jonas,Strength,49.0,,119.0,139,7
2026-02-07,Jonas,Match,90.0,8.9,160.0,199,9
2026-02-08,Jonas,Strength,67.0,,95.0,148,7
2026-02-09,Jonas,Strength,53.0,,96.0,149,5
2026-02-10,Jonas,Endurance,84.0,12.6,,168,3
2026-02-12,Jonas,Strength,65.0,,118.0,142,7
2026-02-14,Jonas,Strength,52.0,,115.0,147,7
2026-02-15,Jonas,Interval,43.0,8.5,163.0,189,8
2026-02-18,Jonas,Interval,52.0,11.6,166.0,197,7
2026-02-19,Jonas,Interval,46.0,9.8,157.0,183,8
2026-02-20,Jonas,Strength,61.0,,96.0,138,6
2026-02-21,Jonas,Match,90.0,9.0,161.0,190,7
2026-02-24,Jonas,Endurance,89.0,14.9,148.0,167,4
2026-02-25,Jonas,Match,90.0,10.7,172.0,200,7
2026-02-26,Jonas,Interval,37.0,7.4,173.0,196,6
2026-02-27,Jonas,Strength,47.0,,110.0,143,6
2026-01-05,Emma,Endurance,52.0,10.1,135.0,164,3
2026-01-06,Emma,Strength,61.0,,115.0,143,6
2026-01-07,Emma,Match,90.0,11.2,175.0,189,9
2026-01-08,Emma,Interval,54.0,10.4,158.0,190,6
2026-01-09,Emma,Endurance,59.0,10.4,155.0,174,4
2026-01-11,Emma,Strength,43.0,,102.0,130,5
2026-01-13,Emma,Endurance,57.0,9.4,145.0,160,3
2026-01-15,Emma,Match,90.0,11.3,160.0,192,7
2026-01-16,Emma,Interval,42.0,8.6,158.0,180,6
2026-01-17,Emma,Endurance,52.0,9.1,135.0,164,4
2026-01-18,Emma,Interval,43.0,9.6,164.0,195,7
2026-01-19,Emma,Interval,48.0,10.0,,195,8
2026-01-21,Emma,Endurance,87.0,13.3,145.0,167,5
2026-01-25,Emma,Strength,43.0,,95.0,149,5
2026-01-28,Emma,Interval,37.0,7.8,159.0,190,8
2026-01-30,Emma,Match,90.0,11.0,167.0,187,9
2026-01-31,Emma,Match,90.0,9.5,163.0,199,8
2026-02-01,Emma,Interval,58.0,11.7,175.0,193,8
2026-02-02,Emma,Strength,68.0,,97.0,142,5
2026-02-03,Emma,Endurance,74.0,11.4,141.0,173,3
2026-02-04,Emma,Interval,30.0,5.7,168.0,193,8
2026-02-05,Emma,Strength,69.0,,103.0,132,7
2026-02-06,Emma,Endurance,50.0,7.9,149.0,171,3
2026-02-07,Emma,Endurance,50.0,7.5,155.0,174,3
2026-02-08,Emma,Strength,61.0,,105.0,132,6
2026-02-09,Emma,Match,90.0,10.6,162.0,194,7
2026-02-11,Emma,Interval,34.0,7.4,161.0,197,8
2026-02-13,Emma,Endurance,55.0,10.7,152.0,164,4
2026-02-14,Emma,Strength,58.0,,105.0,145,7
2026-02-15,Emma,Match,90.0,11.5,169.0,196,9
2026-02-16,Emma,Match,90.0,8.5,168.0,185,9
2026-02-17,Emma,Interval,42.0,7.9,171.0,196,7
2026-02-18,Emma,Interval,44.0,10.2,158.0,184,6
2026-02-20,Emma,Match,90.0,9.3,174.0,190,8
2026-02-21,Emma,Strength,71.0,,111.0,137,6
2026-02-22,Emma,Strength,63.0,,114.0,141,7
2026-02-23,Emma,Interval,33.0,7.5,169.0,195,8
2026-02-26,Emma,Match,90.0,8.6,163.0,200,9
2026-02-27,Emma,Interval,58.0,11.8,173.0,191,6
2026-02-28,Emma,Strength,60.0,,105.0,138,5
2026-03-01,Emma,Strength,58.0,,107.0,131,5
2026-01-05,Sander,Interval,42.0,8.0,161.0,182,6
2026-01-06,Sander,Strength,40.0,,119.0,145,5
2026-01-08,Sander,Strength,71.0,,103.0,135,6
2026-01-10,Sander,Endurance,47.0,7.7,144.0,162,3
2026-01-11,Sander,Endurance,89.0,16.3,149.0,167,5
2026-01-14,Sander,Endurance,58.0,11.3,153.0,161,5
2026-01-15,Sander,Interval,59.0,11.0,163.0,182,8
2026-01-16,Sander,Interval,43.0,9.7,157.0,193,7
2026-01-17,Sander,Strength,45.0,,97.0,135,6
2026-01-18,Sander,Endurance,62.0,11.6,147.0,171,3
2026-01-19,Sander,Match,90.0,11.5,166.0,185,9
2026-01-21,Sander,Interval,33.0,7.5,170.0,181,7
2026-01-22,Sander,Interval,49.0,10.0,158.0,181,7
2026-01-24,Sander,Endurance,84.0,16.3,150.0,165,4
2026-01-28,Sander,Strength,42.0,,118.0,130,7
2026-01-29,Sander,Interval,45.0,9.4,163.0,189,8
2026-02-01,Sander,Interval,32.0,7.4,165.0,182,6
2026-02-02,Sander,Match,90.0,9.5,163.0,198,7
2026-02-04,Sander,Endurance,59.0,10.6,136.0,167,5
2026-02-05,Sander,Interval,50.0,11.6,158.0,182,8
2026-02-06,Sander,Interval,44.0,8.4,172.0,196,8
2026-02-08,Sander,Interval,31.0,6.6,171.0,180,8
2026-02-09,Sander,Match,90.0,12.2,163.0,193,8
2026-02-10,Sander,Match,90.0,12.5,160.0,189,7
2026-02-12,Sander,Match,90.0,9.1,162.0,197,8
2026-02-13,Sander,Endurance,87.0,14.4,143.0,171,5
2026-02-14,Sander,Interval,50.0,10.3,167.0,191,8
2026-02-15,Sander,Strength,46.0,,97.0,144,7
2026-02-17,Sander,Match,90.0,12.1,171.0,196,7
2026-02-18,Sander,Match,90.0,11.1,162.0,189,8
2026-02-19,Sander,Match,90.0,11.5,166.0,191,9
2026-02-20,Sander,Strength,61.0,,108.0,145,7
2026-02-21,Sander,Endurance,74.0,12.4,,166,4
2026-02-24,Sander,Interval,34.0,7.4,168.0,185,6
2026-02-25,Sander,Match,90.0,11.6,163.0,200,9
2026-02-27,Sander,Endurance,50.0,8.2,151.0,162,3
2026-02-28,Sander,Interval,58.0,11.2,174.0,197,7
2026-03-01,Sander,Match,90.0,10.9,175.0,196,7
