Time,East,North,East Displacement,North Displacement,Resultant Distance,Speed,Distance Traveled
1770,1784,1162,,,,,
1780,1801,1158,,,,,
1790,1818,1148,,,,,
1800,1836,1143,,,,,
1810,1853,1138,,,,,
1820,1870,1132,,,,,
1830,1885,1127,,,,,
1840,1897,1123,,,,,
1850,1909,1120,,,,,
1860,1924,1115,,,,,
1870,1937,1110,,,,,
1880,1953,1106,,,,,
1890,1970,1104,,,,,
1900,1987,1104,,,,,
1910,2004,1106,,,,,
1920,2019,1105,,,,,
1930,2036,1104,,,,,
1940,2055,1101,,,,,
1950,2072,1100,,,,,
1960,2089,1101,,,,,
1970,2106,1106,,,,,
1980,2124,1108,,,,,
1990,2142,1112,,,,,
2000,2159,1115,,,,,
2010,2171,1128,,,,,
2020,2176,1145,,,,,
2030,2186,1159,,,,,
2040,2198,1170,,,,,
2050,2210,1183,,,,,
2060,2220,1197,,,,,
2070,2231,1210,,,,,
2080,2241,1226,,,,,
2090,2248,1244,,,,,
2100,2254,1260,,,,,
2110,2260,1278,,,,,
2120,2264,1295,,,,,
2130,2269,1312,,,,,
2140,2271,1332,,,,,
2150,2273,1350,,,,,
2160,2273,1368,,,,,
2170,2278,1383,,,,,
2180,2290,1394,,,,,
2190,2303,1404,,,,,
2200,2319,1414,,,,,
2210,2330,1430,,,,,
2220,2332,1448,,,,,
2230,2334,1467,,,,,
2240,2340,1485,,,,,
2250,2348,1502,,,,,
2260,2359,1517,,,,,
2270,2373,1528,,,,,
2280,2386,1543,,,,,
2290,2399,1555,,,,,
2300,2411,1566,,,,,
2310,2424,1577,,,,,
2320,2436,1588,,,,,
2330,2450,1599,,,,,
2340,2464,1608,,,,,
2350,2480,1616,,,,,
2360,2497,1617,,,,,
2370,2513,1616,,,,,
2380,2531,1613,,,,,
2390,2547,1608,,,,,
2400,2562,1601,,,,,
2410,2577,1593,,,,,
2420,2592,1585,,,,,
2430,2609,1580,,,,,
2440,2626,1576,,,,,
2450,2640,1572,,,,,
2460,2656,1567,,,,,
2470,2674,1564,,,,,
2480,2691,1563,,,,,
2490,2707,1568,,,,,
2500,2723,1572,,,,,
2510,2740,1579,,,,,
2520,2755,1588,,,,,
2530,2770,1597,,,,,
2540,2787,1604,,,,,
2550,2803,1610,,,,,
2560,2820,1615,,,,,
2570,2838,1618,,,,,
2580,2855,1619,,,,,
2590,2873,1620,,,,,
2600,2890,1620,,,,,
2610,2906,1619,,,,,
2620,2922,1620,,,,,
2630,2938,1624,,,,,
2640,2953,1631,,,,,
2650,2966,1641,,,,,
2660,2976,1652,,,,,
2670,2984,1665,,,,,
2680,2992,1679,,,,,
2690,3002,1686,,,,,
2700,3006,1681,,,,,
2710,3004,1682,,,,,
